"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Autauga County, AL","01001","2016","2016",32,14403,222.2
,"Autauga County, AL","01001","2017","2017",31,14386,215.5
,"Autauga County, AL","01001","2018","2018",17,14410,Unreliable
,"Autauga County, AL","01001","2019","2019",25,14597,171.3
,"Autauga County, AL","01001","2020","2020",38,14850,255.9
,"Baldwin County, AL","01003","2016","2016",92,49009,187.7
,"Baldwin County, AL","01003","2017","2017",75,49642,151.1
,"Baldwin County, AL","01003","2018","2018",91,50561,180.0
,"Baldwin County, AL","01003","2019","2019",123,51839,237.3
,"Baldwin County, AL","01003","2020","2020",125,52912,236.2
,"Barbour County, AL","01005","2016","2016",16,6914,Unreliable
,"Barbour County, AL","01005","2017","2017",15,6618,Unreliable
,"Barbour County, AL","01005","2018","2018",17,6447,Unreliable
,"Barbour County, AL","01005","2019","2019",17,6412,Unreliable
,"Barbour County, AL","01005","2020","2020",30,6449,465.2
,"Bibb County, AL","01007","2016","2016",16,6449,Unreliable
,"Bibb County, AL","01007","2017","2017",16,6368,Unreliable
,"Bibb County, AL","01007","2018","2018",17,6279,Unreliable
,"Bibb County, AL","01007","2019","2019",14,6278,Unreliable
,"Bibb County, AL","01007","2020","2020",12,6207,Unreliable
,"Blount County, AL","01009","2016","2016",36,13926,258.5
,"Blount County, AL","01009","2017","2017",44,14026,313.7
,"Blount County, AL","01009","2018","2018",32,14001,228.6
,"Blount County, AL","01009","2019","2019",32,13941,229.5
,"Blount County, AL","01009","2020","2020",43,13938,308.5
,"Bullock County, AL","01011","2016","2016",Suppressed,2849,Suppressed
,"Bullock County, AL","01011","2017","2017",Suppressed,2903,Suppressed
,"Bullock County, AL","01011","2018","2018",10,2835,Unreliable
,"Bullock County, AL","01011","2019","2019",Suppressed,2868,Suppressed
,"Bullock County, AL","01011","2020","2020",Suppressed,2839,Suppressed
,"Butler County, AL","01013","2016","2016",16,4647,Unreliable
,"Butler County, AL","01013","2017","2017",16,4699,Unreliable
,"Butler County, AL","01013","2018","2018",22,4669,471.2
,"Butler County, AL","01013","2019","2019",10,4587,Unreliable
,"Butler County, AL","01013","2020","2020",21,4592,457.3
,"Calhoun County, AL","01015","2016","2016",91,28941,314.4
,"Calhoun County, AL","01015","2017","2017",88,28880,304.7
,"Calhoun County, AL","01015","2018","2018",76,28705,264.8
,"Calhoun County, AL","01015","2019","2019",64,28614,223.7
,"Calhoun County, AL","01015","2020","2020",92,28287,325.2
,"Chambers County, AL","01017","2016","2016",17,7920,Unreliable
,"Chambers County, AL","01017","2017","2017",26,7983,325.7
,"Chambers County, AL","01017","2018","2018",19,8006,Unreliable
,"Chambers County, AL","01017","2019","2019",24,7874,304.8
,"Chambers County, AL","01017","2020","2020",18,7857,Unreliable
,"Cherokee County, AL","01019","2016","2016",22,5516,398.8
,"Cherokee County, AL","01019","2017","2017",15,5473,Unreliable
,"Cherokee County, AL","01019","2018","2018",18,5523,Unreliable
,"Cherokee County, AL","01019","2019","2019",13,5506,Unreliable
,"Cherokee County, AL","01019","2020","2020",Suppressed,5470,Suppressed
,"Chilton County, AL","01021","2016","2016",20,11036,181.2
,"Chilton County, AL","01021","2017","2017",23,11014,208.8
,"Chilton County, AL","01021","2018","2018",36,11026,326.5
,"Chilton County, AL","01021","2019","2019",23,11064,207.9
,"Chilton County, AL","01021","2020","2020",40,10941,365.6
,"Choctaw County, AL","01023","2016","2016",11,2754,Unreliable
,"Choctaw County, AL","01023","2017","2017",Suppressed,2679,Suppressed
,"Choctaw County, AL","01023","2018","2018",Suppressed,2686,Suppressed
,"Choctaw County, AL","01023","2019","2019",Suppressed,2656,Suppressed
,"Choctaw County, AL","01023","2020","2020",14,2602,Unreliable
,"Clarke County, AL","01025","2016","2016",13,5482,Unreliable
,"Clarke County, AL","01025","2017","2017",12,5448,Unreliable
,"Clarke County, AL","01025","2018","2018",19,5416,Unreliable
,"Clarke County, AL","01025","2019","2019",16,5352,Unreliable
,"Clarke County, AL","01025","2020","2020",24,5313,451.7
,"Clay County, AL","01027","2016","2016",Suppressed,3026,Suppressed
,"Clay County, AL","01027","2017","2017",10,2977,Unreliable
,"Clay County, AL","01027","2018","2018",Suppressed,2952,Suppressed
,"Clay County, AL","01027","2019","2019",11,2944,Unreliable
,"Clay County, AL","01027","2020","2020",13,2925,Unreliable
,"Cleburne County, AL","01029","2016","2016",11,3475,Unreliable
,"Cleburne County, AL","01029","2017","2017",15,3451,Unreliable
,"Cleburne County, AL","01029","2018","2018",Suppressed,3502,Suppressed
,"Cleburne County, AL","01029","2019","2019",13,3426,Unreliable
,"Cleburne County, AL","01029","2020","2020",Suppressed,3403,Suppressed
,"Coffee County, AL","01031","2016","2016",27,13177,204.9
