"fips","cmhc_year_exp"
1009,1977
1015,1973
1017,1977
1019,1977
1037,1977
1039,1979
1043,1977
1047,1977
1053,1979
1055,1975
1061,1977
1069,1977
1073,1971
1077,1971
1081,1977
1085,1977
1089,1973
1091,1975
1093,1973
1095,1977
1097,1973
1101,1981
1103,1981
1109,1981
1121,1977
1125,1977
1127,1977
2020,1977
2130,1979
2150,1977
4005,1971
4007,1981
4013,1971
4019,1971
4021,1981
4023,1981
5005,1977
5007,1979
5031,1973
5043,1977
5051,1971
5055,1977
5059,1977
5063,1977
5069,1971
5079,1977
5089,1977
5091,1979
5107,1971
5115,1977
5119,1971
5131,1975
5139,1971
5143,1975
6001,1973
6013,1977
6019,1971
6029,1971
6037,1971
6041,1971
6053,1973
6065,1973
6067,1971
6069,1977
6071,1979
6075,1971
6079,1971
6081,1971
6083,1971
6085,1971
6099,1973
6107,1977
6111,1971
6113,1977
8001,1971
8003,1975
8005,1971
8011,1979
8013,1973
8021,1977
8031,1971
8035,1979
8043,1977
8045,1975
8059,1971
8067,1981
8069,1977
8075,1981
8085,1971
8089,1979
8101,1971
8123,1971
9001,1971
9003,1981
9005,1977
9009,1971
9015,1979
10003,1971
10005,1971
11001,1971
12001,1975
12005,1971
12009,1971
12011,1981
12023,1981
12031,1975
12033,1971
12057,1973
12069,1971
12071,1979
12073,1981
12081,1971
12083,1981
12086,1975
12095,1971
12099,1971
12101,1979
12103,1981
12105,1971
12109,1979
12111,1973
12117,1979
12127,1971
13015,1979
13021,1975
13031,1979
13047,1977
13051,1973
13059,1975
13063,1973
13067,1977
13089,1973
13095,1977
13115,1979
13121,1971
13127,1979
13131,1977
13135,1981
13139,1973
13175,1977
13177,1977
13185,1971
13245,1977
13255,1981
13275,1973
13295,1977
13299,1981
13313,1977
15003,1977
15007,1977
15009,1977
16001,1971
16005,1971
16019,1971
16027,1977
16051,1977
16053,1977
16055,1973
16069,1971
16083,1977
17001,1971
17011,1977
17031,1971
17037,1977
17057,1979
17089,1977
17095,1981
17099,1977
17109,1975
17111,1981
17143,1977
17161,1971
17163,1979
18003,1979
18005,1975
18011,1979
18013,1979
18019,1973
